sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
BAQ1370.1.2	1	0	0	0	0	0	0	0
BAQ1370.1.3	6	2	33.33	1	0	0	0	0
BAQ1370.3	0	0	0	0	0	0	0	0
BAQ1552.1.1	4	1	25	1	1	25	1	25
BAQ1552.2	1	0	0	0	0	0	0	0
BAQ2420.1.1	810	741	91.48	518	301	37.16	301	37.16
BAQ2420.1.2	720	658	91.39	483	267	37.08	267	37.08
BAQ2420.1.3	656	616	93.9	458	282	42.99	282	42.99
BAQ2420.2	658	605	91.95	517	324	49.24	324	49.24
BAQ2420.3	645	592	91.78	500	271	42.02	263	40.78
BAQ2462.1	950	841	88.53	724	443	46.63	399	42
BAQ2462.2	676	604	89.35	510	311	46.01	311	46.01
BAQ2462.3	537	490	91.25	381	266	49.53	266	49.53
BAQ2687.1	883	842	95.36	615	302	34.2	302	34.2
BAQ2687.2	662	568	85.8	503	354	53.47	354	53.47
BAQ2687.3	921	825	89.58	679	332	36.05	332	36.05
BAQ2838.1	614	564	91.86	410	185	30.13	185	30.13
BAQ2838.2	562	512	91.1	356	174	30.96	174	30.96
BAQ2838.3	434	379	87.33	273	95	21.89	95	21.89
BAQ3473.1	1168	1074	91.95	843	418	35.79	418	35.79
BAQ3473.2	1010	947	93.76	685	280	27.72	280	27.72
BAQ3473.3	1304	1218	93.4	1010	581	44.56	581	44.56
BAQ4166.1.1	1069	973	91.02	713	311	29.09	311	29.09
BAQ4166.1.2	1383	1253	90.6	1036	654	47.29	641	46.35
BAQ4166.1.3	1059	964	91.03	748	424	40.04	413	39
BAQ4166.2	1237	1156	93.45	942	438	35.41	438	35.41
BAQ4166.3	1348	1218	90.36	925	469	34.79	465	34.5
BAQ4697.1	852	807	94.72	702	506	59.39	503	59.04
BAQ4697.2	861	809	93.96	703	526	61.09	495	57.49
BAQ4697.3	1167	1064	91.17	937	635	54.41	621	53.21
BAQ895.2	9	6	66.67	2	0	0	0	0
BAQ895.3	0	0	0	0	0	0	0	0
YUN1005.1.1	904	827	91.48	777	610	67.48	610	67.48
YUN1005.1.3	7	1	14.29	1	0	0	0	0
YUN1005.2	2	1	50	1	0	0	0	0
YUN1005.3	453	430	94.92	407	314	69.32	314	69.32
YUN1242.1	619	572	92.41	555	500	80.78	488	78.84
YUN1242.2	10	9	90	1	1	10	1	10
YUN1242.3	784	727	92.73	683	560	71.43	530	67.6
YUN1609.1	769	692	89.99	639	498	64.76	498	64.76
YUN1609.3	2	0	0	0	0	0	0	0
YUN2029.1	9	7	77.78	1	0	0	0	0
YUN2029.2	918	871	94.88	801	685	74.62	677	73.75
YUN2029.3	2	0	0	0	0	0	0	0
YUN3008.1.1	2	2	100	1	0	0	0	0
YUN3008.1.2	1	0	0	0	0	0	0	0
YUN3008.1.3	6	2	33.33	1	0	0	0	0
YUN3008.2	1	1	100	1	0	0	0	0
YUN3008.3	3	1	33.33	1	0	0	0	0
YUN3153.1	4	1	25	1	0	0	0	0
YUN3153.2	468	427	91.24	357	275	58.76	275	58.76
YUN3153.3	619	562	90.79	503	379	61.23	362	58.48
YUN3184.1	0	0	0	0	0	0	0	0
YUN3184.2	1	0	0	0	0	0	0	0
YUN3259.1.1	67	59	88.06	3	0	0	0	0
YUN3259.1.2	645	618	95.81	483	364	56.43	364	56.43
YUN3259.1.3	280	264	94.29	196	96	34.29	96	34.29
YUN3259.2	1039	927	89.22	685	312	30.03	312	30.03
YUN3259.3	1122	1018	90.73	838	520	46.35	520	46.35
YUN3346.1	730	678	92.88	572	449	61.51	410	56.16
YUN3346.2	193	183	94.82	118	30	15.54	30	15.54
YUN3346.3	795	716	90.06	563	348	43.77	348	43.77
YUN3428.1	1058	962	90.93	742	464	43.86	464	43.86
YUN3428.2	1536	1398	91.02	1095	705	45.9	705	45.9
YUN3428.3	1159	1068	92.15	778	411	35.46	408	35.2
YUN3533.1.1	1000	931	93.1	717	399	39.9	399	39.9
YUN3533.1.2	976	922	94.47	661	359	36.78	359	36.78
YUN3533.1.3	802	753	93.89	579	316	39.4	316	39.4
YUN3533.2	1266	1189	93.92	998	701	55.37	701	55.37
YUN3533.3	1316	1230	93.47	943	584	44.38	584	44.38
YUN3856.1.1	1087	973	89.51	718	333	30.63	333	30.63
YUN3856.1.2	1044	978	93.68	785	462	44.25	462	44.25
YUN3856.1.3	753	711	94.42	591	366	48.61	366	48.61
YUN3856.2	1003	915	91.23	717	304	30.31	304	30.31
YUN3856.3	1321	1218	92.2	968	526	39.82	523	39.59
