BAQ4697.3,600.0
YUN1005.1.1,586.0
YUN2029.2,562.0
YUN3533.2,551.0
YUN1242.3,500.0
YUN3428.2,473.0
YUN1242.1,451.0
BAQ3473.3,429.0
YUN1609.1,428.0
BAQ4697.1,426.0
BAQ4697.2,409.0
YUN3259.3,403.0
YUN3856.3,399.0
BAQ4166.1.2,392.0
YUN3856.1.2,389.0
YUN3533.3,368.0
BAQ2462.1,368.0
BAQ4166.3,336.0
YUN3153.3,324.0
YUN3346.1,324.0
YUN3856.1.3,320.0
BAQ4166.2,300.0
YUN3428.1,291.0
YUN3259.1.2,290.0
BAQ2687.2,287.0
YUN1005.3,283.0
BAQ2462.2,278.0
BAQ4166.1.3,275.0
BAQ3473.1,273.0
YUN3856.1.1,273.0
YUN3346.3,270.0
YUN3153.2,269.0
YUN3533.1.1,267.0
BAQ2420.2,248.0
YUN3428.3,234.0
BAQ2420.1.3,221.0
BAQ2687.1,220.0
YUN3856.2,201.0
BAQ2420.1.1,198.0
YUN3533.1.3,186.0
YUN3533.1.2,174.0
BAQ4166.1.1,172.0
BAQ3473.2,167.0
YUN3259.2,159.0
BAQ2420.1.2,152.0
BAQ2420.3,146.0
BAQ2462.3,146.0
BAQ2687.3,142.0
BAQ2838.2,108.0
BAQ2838.3,91.0
BAQ2838.1,87.0
YUN3346.2,28.0
YUN3259.1.3,17.0
YUN1242.2,1.0
BAQ1552.1.1,1.0
YUN3259.1.1,0.0
YUN3153.1,0.0
YUN3008.3,0.0
YUN3008.2,0.0
YUN3008.1.3,0.0
YUN3008.1.1,0.0
YUN2029.1,0.0
YUN1005.2,0.0
BAQ895.2,0.0
BAQ1370.1.3,0.0
