sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
BAQ1370.1.2	1	0	0	0	0	0
BAQ1370.1.3	6	1	16.67	1	1	16.67
BAQ1370.3	0	0	0	0	0	0
BAQ1552.1.1	6	3	50	1	1	16.67
BAQ1552.2	1	0	0	0	0	0
BAQ2420.1.1	789	759	96.2	534	534	67.68
BAQ2420.1.2	696	661	94.97	497	497	71.41
BAQ2420.1.3	706	673	95.33	519	519	73.51
BAQ2420.2	671	637	94.93	537	537	80.03
BAQ2420.3	695	667	95.97	557	557	80.14
BAQ2462.1	996	936	93.98	808	808	81.12
BAQ2462.2	679	654	96.32	546	546	80.41
BAQ2462.3	511	488	95.5	395	395	77.3
BAQ2687.1	930	904	97.2	717	717	77.1
BAQ2687.2	699	639	91.42	550	550	78.68
BAQ2687.3	921	863	93.7	704	704	76.44
BAQ2838.1	637	599	94.03	415	415	65.15
BAQ2838.2	519	494	95.18	322	322	62.04
BAQ2838.3	401	368	91.77	237	237	59.1
BAQ3473.1	1165	1091	93.65	837	837	71.85
BAQ3473.2	1045	993	95.02	670	670	64.11
BAQ3473.3	1350	1309	96.96	1096	1096	81.19
BAQ4166.1.1	1077	1014	94.15	741	741	68.8
BAQ4166.1.2	1363	1299	95.3	1048	1048	76.89
BAQ4166.1.3	1074	1013	94.32	830	830	77.28
BAQ4166.2	1327	1288	97.06	969	969	73.02
BAQ4166.3	1316	1246	94.68	920	920	69.91
BAQ4697.1	907	874	96.36	778	778	85.78
BAQ4697.2	847	822	97.05	702	702	82.88
BAQ4697.3	1166	1111	95.28	993	993	85.16
BAQ895.2	6	4	66.67	1	1	16.67
BAQ895.3	0	0	0	0	0	0
YUN1005.1.1	907	858	94.6	809	809	89.2
YUN1005.1.3	2	1	50	1	1	50
YUN1005.2	3	2	66.67	1	1	33.33
YUN1005.3	425	404	95.06	365	365	85.88
YUN1242.1	581	551	94.84	537	537	92.43
YUN1242.2	10	8	80	2	2	20
YUN1242.3	836	789	94.38	729	729	87.2
YUN1609.1	765	733	95.82	691	691	90.33
YUN1609.3	1	1	100	1	1	100
YUN2029.1	4	3	75	1	1	25
YUN2029.2	993	960	96.68	892	892	89.83
YUN2029.3	1	0	0	0	0	0
YUN3008.1.1	5	5	100	1	1	20
YUN3008.1.2	1	1	100	1	1	100
YUN3008.1.3	6	2	33.33	1	1	16.67
YUN3008.2	1	1	100	1	1	100
YUN3008.3	4	4	100	1	1	25
YUN3153.1	1	1	100	1	1	100
YUN3153.2	533	511	95.87	428	428	80.3
YUN3153.3	629	597	94.91	546	546	86.8
YUN3184.1	2	1	50	1	1	50
YUN3184.2	3	2	66.67	1	1	33.33
YUN3259.1.1	73	69	94.52	21	21	28.77
YUN3259.1.2	758	734	96.83	576	576	75.99
YUN3259.1.3	305	291	95.41	212	212	69.51
YUN3259.2	1068	1015	95.04	721	721	67.51
YUN3259.3	1078	1003	93.04	784	784	72.73
YUN3346.1	732	691	94.4	615	615	84.02
YUN3346.2	182	176	96.7	87	87	47.8
YUN3346.3	802	756	94.26	617	617	76.93
YUN3428.1	1073	1013	94.41	790	790	73.63
YUN3428.2	1511	1431	94.71	1139	1139	75.38
YUN3428.3	1143	1098	96.06	831	831	72.7
YUN3533.1.1	1042	1010	96.93	794	794	76.2
YUN3533.1.2	955	921	96.44	596	596	62.41
YUN3533.1.3	862	836	96.98	654	654	75.87
YUN3533.2	1228	1184	96.42	979	979	79.72
YUN3533.3	1372	1319	96.14	1066	1066	77.7
YUN3856.1.1	1067	987	92.5	762	762	71.42
YUN3856.1.2	994	969	97.48	801	801	80.58
YUN3856.1.3	769	747	97.14	625	625	81.27
YUN3856.2	1069	1036	96.91	851	851	79.61
YUN3856.3	1317	1259	95.6	986	986	74.87
