Group 1,Group 2,H,p-value,q-value
A (n=2),B (n=7),0.7714285714285687,0.37977547484094987,0.5202055310692332
A (n=2),C (n=10),0.7384615384615429,0.39015414830192485,0.5202055310692332
A (n=2),D (n=12),0.8333333333333357,0.3613104285261781,0.5202055310692332
A (n=2),E (n=1),1.5,0.22067136191984324,0.46730406053613865
A (n=2),G (n=3),3.0,0.08326451666355042,0.39318876153345306
A (n=2),H (n=7),0.08571428571428541,0.7696979437812901,0.8149742934154837
A (n=2),I (n=1),1.5,0.22067136191984324,0.46730406053613865
A (n=2),K (n=2),2.3999999999999986,0.12133525035848367,0.4144269532831059
B (n=7),C (n=10),1.1523809523809518,0.28305128705188176,0.5192353765029455
B (n=7),D (n=12),3.1499999999999986,0.07592696298255781,0.39318876153345306
B (n=7),E (n=1),0.4285714285714306,0.5126907602619224,0.595382818368684
B (n=7),G (n=3),2.922077922077918,0.08737528034076734,0.39318876153345306
B (n=7),H (n=7),1.1795918367346871,0.27743910513984543,0.5192353765029455
B (n=7),I (n=1),0.4285714285714306,0.5126907602619224,0.595382818368684
B (n=7),K (n=2),2.142857142857146,0.14323490752466533,0.429704722573996
C (n=10),D (n=12),0.0173913043478251,0.8950822971464321,0.9206560770649016
C (n=10),E (n=1),0.8999999999999986,0.34278171114790906,0.5202055310692332
C (n=10),G (n=3),3.4571428571428626,0.06297905121445495,0.39318876153345306
C (n=10),H (n=7),0.46666666666666856,0.49452466788386984,0.595382818368684
C (n=10),I (n=1),2.5,0.11384629800665763,0.4144269532831059
C (n=10),K (n=2),4.61538461538462,0.03168638853979348,0.39318876153345306
D (n=12),E (n=1),0.2857142857142918,0.5929800980174227,0.6671026102696006
D (n=12),G (n=3),1.0208333333333428,0.3123214216762109,0.5192353765029455
D (n=12),H (n=7),0.8642857142857139,0.35254213749971297,0.5202055310692332
D (n=12),I (n=1),1.7857142857142918,0.18144920772141568,0.466583676997926
D (n=12),K (n=2),4.033333333333331,0.044609718024939675,0.39318876153345306
E (n=1),G (n=3),0.1999999999999993,0.6547208460185774,0.7142409229293571
E (n=1),H (n=7),0.4285714285714306,0.5126907602619224,0.595382818368684
E (n=1),I (n=1),1.0,0.31731050786291115,0.5192353765029455
E (n=1),K (n=2),1.5,0.22067136191984324,0.46730406053613865
G (n=3),H (n=7),1.0519480519480453,0.3050588592616768,0.5192353765029455
G (n=3),I (n=1),1.8000000000000007,0.17971249487899588,0.466583676997926
G (n=3),K (n=2),3.0,0.08326451666355042,0.39318876153345306
H (n=7),I (n=1),2.333333333333332,0.1266304579476157,0.4144269532831059
H (n=7),K (n=2),4.200000000000003,0.04042397933690854,0.39318876153345306
I (n=1),K (n=2),0.0,1.0,1.0
